gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,CLV,AvgMonthlyCharges
1,0,1,0,0.013888888888888888,0,0,0,1,0,0,0,0,1,0.11542288557213931,0.0034370394252026537,0,1,0,0,1,0,0,0,0,1,0,0.003491228070175439,0.14936120789779328
0,0,0,0,0.4722222222222222,1,0,1,0,1,0,0,0,0,0.3850746268656716,0.21756401989683127,0,1,0,0,0,1,0,0,0,0,1,0.22646783625730998,0.38837193413950943
0,0,0,0,0.027777777777777776,1,0,1,1,0,0,0,0,1,0.35422885572139307,0.012452791083271925,1,1,0,0,1,0,0,0,0,0,1,0.012596491228070177,0.37444831591173056
0,0,0,0,0.625,0,0,1,0,1,1,0,0,0,0.23930348258706463,0.21195076455416362,0,1,0,0,0,1,0,1,0,0,0,0.2226315789473684,0.25208413988901796
1,0,0,0,0.027777777777777776,1,0,0,0,0,0,0,0,1,0.5218905472636816,0.017461542004421522,1,0,1,0,1,0,0,0,0,1,0,0.016538011695906435,0.5765389082462253
1,0,0,0,0.1111111111111111,1,1,0,0,1,0,1,1,1,0.8099502487562189,0.09447540530582167,1,0,1,0,1,0,0,0,0,1,0,0.09323976608187136,0.8249709639953543
0,0,0,1,0.3055555555555555,1,1,0,1,0,0,1,0,1,0.7049751243781094,0.22446112748710395,0,0,1,0,1,0,0,0,1,0,0,0.22926315789473684,0.6953225636152466
1,0,0,0,0.1388888888888889,0,0,1,0,0,0,0,0,0,0.11442786069651739,0.03476188282977156,0,1,0,0,1,0,0,0,0,0,1,0.0347953216374269,0.15252032520325204
1,0,1,0,0.38888888888888884,1,1,0,0,1,1,1,1,1,0.8611940298507462,0.3507334653647753,1,0,1,0,1,0,0,0,0,1,0,0.3432046783625731,0.8828106852497096
0,0,0,1,0.861111111111111,1,0,1,1,0,0,0,0,0,0.3771144278606965,0.40161546610169496,0,1,0,0,0,1,0,1,0,0,0,0.40716959064327485,0.39472481360758305
